User_ID|Canvas_Set_ID|Curriculum_ID|Canvas_Start_Date_YYYYMMDD_HHMMSS|Canvas_End_Date_YYYYMMDD_HHMMSS|Curr_Start_Date_YYYYMMDD_HHMMSS|Curr_End_Date_YYYYMMDD_HHMMSS
153632|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153642|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155741|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
164508|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153555|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155479|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153593|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155479|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153537|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150784|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
163281|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152510|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
149851|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151665|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150157|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150040|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151494|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151547|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152608|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152741|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151266|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154035|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153928|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152234|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153883|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153680|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152979|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
161716|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
169664|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151198|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153578|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153550|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153541|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153905|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153643|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
158581|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153638|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153684|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153589|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153638|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153531|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153334|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155740|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153683|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153636|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153530|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153440|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
