Legacy_ID,Legacy_Name,Legacy_ID_Consolidaton,New_Name,New_IDs
41,Physics & Astronomy,,Physics & Astronomy,"142, 175, 345, 378, 581, 614, 960, 993, 1215, 1248, 1412, 1445, 1665, 1698, 1868, 1901, 2128, 2161, 2346, 2379, 2626, 2659, 2829, 2862, 3080, 3113, 3342, 3375, 3584, 3617, 3784, 3817, 4023, 4056, 4226, 4259, 4465, 4498, 4661, 4694, 4909, 4942, 5103, 5136, 5364, 5397, 5563, 5596, 5790, 5823, 5984, 6017, 6255, 6288, 6600, 6633|""Physics & Astronomy"""
11,Political Science,,Political Science,"143, 176, 346, 379, 582, 615, 961, 994, 1216, 1249, 1413, 1446, 1666, 1699, 1869, 1902, 2129, 2162, 2347, 2380, 2627, 2660, 2830, 2863, 3081, 3114, 3343, 3376, 3585, 3618, 3785, 3818, 4024, 4057, 4227, 4260, 4466, 4499, 4662, 4695, 4910, 4943, 5104, 5137, 5365, 5398, 5564, 5597, 5791, 5824, 5985, 6018, 6256, 6289, 6601, 6634|""Political Science"""
74,Pre-Health Program,53,,
120,Pre-Law,53,,
68,Pre-Law Program,53,,
101,Pre-Med,53,,
8,Psychology,,Psychology,"144, 177, 347, 380, 583, 616, 962, 995, 1217, 1250, 1414, 1447, 1667, 1700, 1870, 1903, 2130, 2163, 2348, 2381, 2628, 2661, 2831, 2864, 3082, 3115, 3344, 3377, 3586, 3619, 3786, 3819, 4025, 4058, 4228, 4261, 4467, 4500, 4663, 4696, 4911, 4944, 5105, 5138, 5366, 5399, 5565, 5598, 5792, 5825, 5986, 6019, 6257, 6290, 6602, 6635|""Psychology"""
102,Public Health,53,,
116,Public Relations,3,,
33,Religion / Theology,,Religion / Theology,"145, 178, 348, 381, 584, 617, 963, 996, 1218, 1251, 1415, 1448, 1668, 1701, 1871, 1904, 2131, 2164, 2349, 2382, 2629, 2662, 2832, 2865, 3083, 3116, 3345, 3378, 3587, 3620, 3787, 3820, 4026, 4059, 4229, 4262, 4468, 4501, 4664, 4697, 4912, 4945, 5106, 5139, 5367, 5400, 5566, 5599, 5793, 5826, 5987, 6020, 6258, 6291, 6603, 6636|""Religion / Theology"""
131,Religion/Theology,33,,
62,Religious Studies,33,,
128,Social Sciences,53,,
83,Social Work,53,,
30,Sociology,,Sociology,"146, 179, 349, 382, 585, 618, 964, 997, 1219, 1252, 1416, 1449, 1669, 1702, 1872, 1905, 2132, 2165, 2350, 2383, 2630, 2663, 2833, 2866, 3084, 3117, 3346, 3379, 3588, 3621, 3788, 3821, 4027, 4060, 4230, 4263, 4469, 4502, 4665, 4698, 4913, 4946, 5107, 5140, 5368, 5401, 5567, 5600, 5794, 5827, 5988, 6021, 6259, 6292, 6604, 6637|""Sociology"""
75,Spanish,44,,
46,Speaker,53,,
115,Theater,53,,
76,Theology,33,,
51,Tourism/Hospitality,53,,
77,Urban Studies,53,,
130,Visual and Performing Arts,53,,
78,Visual Arts,53,,
40,Women's and Gender Studies,,Women's and Gender Studies,"4061, 383, 147, 180, 350, 586, 619, 965, 998, 1220, 1253, 1417, 1450, 1670, 1703, 1873, 1906, 2133, 2166, 2351, 2384, 2631, 2664, 2834, 2867, 3085, 3118, 3347, 3380, 3589, 3622, 3789, 3822, 4028, 4231, 4264, 4470, 4503, 4666, 4699, 4914, 4947, 5108, 5141, 5369, 5402, 5568, 5601, 5795, 5828, 5989, 6022, 6260, 6293, 6605, 6638|""Women's and Gender Studies"""
79,Women's Studies,40,,
58,Yes,53,,
